sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
163.0,0,26.67223191535039,32,696.0,16.571428571428573,2.2696763571618446
164.0,0,27.06616495920245,32,728.0,17.333333333333332,1.6252438581332145
165.0,0,19.427963325461544,31,748.0,17.80952380952381,1.4211579472289446
166.0,0,6.926443943045844,34,782.0,17.772727272727273,2.077607636258048
167.0,0,9.550831083021581,35,817.0,17.76086956521739,2.5663254484466513
168.0,1,8.447508119897469,36,853.0,18.955555555555556,2.393993850693152
169.0,3,8.984566261700135,36,889.0,20.204545454545453,2.227061231100304
170.0,0,13.188625247293006,36,925.0,21.022727272727273,2.1037772129923824
171.0,0,14.752375810247708,36,961.0,21.84090909090909,1.860254053170378
172.0,0,18.410422761667515,36,997.0,22.65909090909091,1.4418402572701416
173.0,0,16.594202914127532,35,939.0,21.34090909090909,1.310018666344952
174.0,0,12.420483256971497,34,887.0,20.15909090909091,1.3290430111980998
175.0,0,20.296311198610454,32,843.0,19.15909090909091,1.3136685686174439
176.0,0,20.97287294989568,31,799.0,17.369565217391305,1.9809152688547587
177.0,0,23.418743007507437,31,768.0,16.0,2.561611116278066
178.0,0,23.63988165846674,30,738.0,15.375,2.94214321758396
179.0,1,34.948597702901544,28,720.0,15.319148936170214,3.050806328991067
180.0,0,39.41022469186947,27,725.0,15.425531914893616,3.1760691461875235
181.0,1,40.288496178996915,25,712.0,14.24,4.050185872708272
182.0,0,37.04043880102958,24,719.0,13.826923076923077,4.675046550195092
183.0,0,29.691034529307117,23,711.0,13.673076923076923,5.10410938966307
184.0,0,29.279846646116777,22,712.0,13.692307692307692,5.457308171248574
185.0,0,35.491097534375456,22,717.0,13.788461538461538,5.875644183129195
186.0,0,34.588917851475955,20,732.0,14.076923076923077,6.187325690292299
187.0,2,37.67586604124777,18,746.0,14.346153846153847,6.314264610133833
188.0,1,39.61408585636372,18,764.0,14.415094339622641,6.575489580814962
189.0,1,39.776525827682136,18,782.0,15.038461538461538,6.451722248096183
190.0,0,51.24845734696371,20,802.0,15.423076923076923,6.297322586331635
191.0,1,36.633887092283715,20,822.0,16.11764705882353,6.127882354277028
192.0,1,39.296403906275074,20,842.0,16.84,6.062914054798813
193.0,1,29.945418753415915,20,862.0,16.901960784313726,6.362750795118162
194.0,2,24.339332485079883,21,883.0,18.020408163265305,6.223018457877857
195.0,1,24.510624564887696,22,905.0,18.854166666666668,6.150139690245162
196.0,1,15.773886795833192,23,928.0,19.74468085106383,6.14907248852355
197.0,2,20.782410093622882,24,952.0,20.25531914893617,6.135084502518413
198.0,1,23.40488042527878,24,976.0,20.333333333333332,6.0121296917468525
199.0,0,22.831900895040405,24,1000.0,20.833333333333332,5.8142874310500545
200.0,2,17.752480577404558,25,1025.0,22.282608695652176,5.633750847917368
201.0,0,11.883457915092375,26,1051.0,22.847826086956523,5.717538806224278
202.0,1,7.689803440194284,26,1077.0,23.933333333333334,5.522240472524865
203.0,3,4.204540112542051,26,1103.0,26.261904761904763,4.997944662354329
204.0,0,8.659195020728383,26,1129.0,26.88095238095238,5.0319098633288775
205.0,1,6.6354131633099165,26,1155.0,26.86046511627907,5.1872537155063245
206.0,2,12.11252799988993,26,1181.0,28.804878048780488,4.621325465709932
207.0,0,16.918876102739418,26,1207.0,28.069767441860463,4.771471380350501
208.0,0,26.38656333927449,24,1079.0,23.977777777777778,4.763074734528963
209.0,2,26.429678212214263,23,951.0,22.11627906976744,4.018190877261066
210.0,2,29.259936017225133,22,823.0,20.073170731707318,3.513032407354719
211.0,1,23.835768128603984,20,696.0,17.4,3.3045044570806477
212.0,0,21.213297789954332,20,570.0,14.25,3.692229468182768
213.0,1,21.309746379863473,20,452.0,11.58974358974359,3.921890103125593
214.0,1,25.98123582278671,18,351.0,9.236842105263158,3.846182870732724
215.0,2,32.693932832694394,17,319.0,8.86111111111111,3.3494922366075244
216.0,0,33.92378002247753,15,202.0,5.611111111111111,3.270996322650224
217.0,0,39.551309621755756,12,134.0,3.1904761904761907,4.597784134504005
218.0,0,37.81669186024816,11,89.0,1.934782608695652,5.092079470305879
219.0,0,35.00985598241826,11,63.0,1.3125,5.237588199074428
220.0,0,39.16181261856725,11,59.0,1.2291666666666667,5.306222863211327
221.0,0,36.913932640808135,14,73.0,1.5208333333333333,5.268005128815191
222.0,2,35.054091646774296,18,91.0,1.9782608695652173,4.957117988524221
223.0,0,25.715572782255112,18,109.0,2.369565217391304,4.892571848715738
224.0,0,18.544425216952938,19,128.0,2.782608695652174,4.843651161764335
225.0,1,14.618023049361847,21,149.0,3.311111111111111,4.57548751161936
226.0,0,20.927345532357066,22,171.0,3.8,4.337782262377025
227.0,1,24.17723802299961,23,194.0,4.409090909090909,3.7090049618140895
228.0,0,31.43707781836274,25,219.0,4.760869565217392,3.4774432039083756
229.0,1,21.829326424626707,26,245.0,5.0,3.6612041907957646
230.0,1,14.047973412265327,30,275.0,5.729166666666667,3.2217377532177367
231.0,1,10.26612402390449,32,307.0,6.531914893617022,2.9545371767154096
232.0,0,12.256985035554393,36,343.0,7.297872340425532,2.903785543468805
